epoch,train_recon,train_adv,train_lpips,train_mdn_nll,train_chroma,val_l1,val_psnr,val_ssim,val_lpips,val_deltae,val_chroma
1,0.06793161962918778,0.0,0.17177778724150172,0.0,0.0,0.06446078331509725,22.09469223022461,0.9153425097465515,0.16266604488929445,9.549571072020116,0.08013466573437723
2,0.06402766880808416,0.0,0.16201391593226086,0.0,0.0,0.063397474315654,22.228797912597656,0.9210066795349121,0.1604616234929455,9.444621623063288,0.07668227230717822
3,0.06275135971388683,0.0,0.15815229245038245,0.0,0.0,0.0618416295446852,22.34918785095215,0.9204949140548706,0.15557134058587357,9.096270728178052,0.0766845331462074
4,0.06301693761870646,1.096840988733848,0.15726205660491852,0.0,0.0,0.06286050367797791,22.183259963989258,0.9184413552284241,0.15741249792674342,9.250656738334676,0.07836887359368701
5,0.06300307011870193,1.1655949728558392,0.15663724164591783,0.0,0.0,0.06250064739701795,22.307952880859375,0.9185095429420471,0.15453814142266242,9.259776946877231,0.0762684997588563
6,0.06263877554483584,1.1909369602687512,0.15575129344285019,0.0,0.0,0.06242735512262466,22.29568099975586,0.9141219854354858,0.15610238180315794,9.255387734298278,0.07554645129382945
7,0.0621774485214457,1.2005973667774734,0.15497226516480345,0.0,0.0,0.06218885839068923,22.324474334716797,0.9177813529968262,0.15474749960693993,9.216394237443513,0.07508490607142448
8,0.06197771777925673,1.2052018358099386,0.15417185871360825,0.0,0.0,0.0625135736065168,22.334571838378906,0.917086660861969,0.1557595827916757,9.2703433203764,0.07383454753299888
9,0.061608754389366256,1.2102573408168082,0.15308062936332928,0.0,0.0,0.06130803439046154,22.418222427368164,0.9199756383895874,0.15390602982386486,9.069815729846473,0.07519693109167724
10,0.06123600845452041,1.207846779102103,0.15223832285665614,0.0,0.0,0.061714548794996174,22.312911987304688,0.9202814698219299,0.15381817028176883,9.041030755563945,0.0761924398859509
11,0.060961083010774575,1.2096098490075042,0.151587689894658,0.0,0.0,0.06151877223652284,22.307161331176758,0.9182864427566528,0.15289731709813537,9.032134394017922,0.07586389208729026
12,0.06071250367049127,1.2084709039748556,0.15093245271556405,0.0,0.0,0.06069301833667341,22.4448299407959,0.921851634979248,0.15124731578705022,8.912983981167235,0.07503034514622862
13,0.06042890379372643,1.2097246872479939,0.15025656665855788,0.0,0.0,0.06122770439572528,22.441770553588867,0.9186738729476929,0.15080226285784853,9.09503270397667,0.07239460328421674
14,0.060160745559699476,1.2083373307000054,0.14940208636647268,0.0,0.0,0.06061607123423023,22.449134826660156,0.9210869669914246,0.15073688982539818,8.935733470596185,0.07342327501969177
15,0.05993287878088065,1.208434015664656,0.1488945822895343,0.0,0.0,0.061508789971596055,22.41155242919922,0.9189438819885254,0.15175189395077757,9.093757465106098,0.07272048339936413
16,0.059604062713608796,1.2075739337467652,0.1482099548416404,0.0,0.0,0.06097376534939647,22.46121597290039,0.9194990992546082,0.150761400701619,9.040505678379903,0.07178871794825509
17,0.05949389981315744,1.207011263984286,0.1476535262261901,0.0,0.0,0.06075877558533885,22.425199508666992,0.922853946685791,0.15395296513199472,8.87943044897555,0.07601987606003172
18,0.05915808937738665,1.204174566104198,0.1470631424188793,0.0,0.0,0.06131794470093664,22.387466430664062,0.9189262390136719,0.15098012345177786,9.057962276688476,0.07282046410216003
19,0.058977829305285556,1.2039836774398056,0.14650644599433488,0.0,0.0,0.06102803624456837,22.439273834228516,0.9196167588233948,0.15038550644069493,8.992223899237581,0.07385878481429999
20,0.05868129047810512,1.2028851665760096,0.14585463254166708,0.0,0.0,0.06146505064427519,22.385486602783203,0.9177943468093872,0.1510176365615941,9.016612551793331,0.07275492467340969
