Category,N,baseline,ours,ours_chroma,ours_mdn,best_delta_pct
Snow,8,8.20782059431076,7.459351599216461,6.911109566688538,6.519219845533371,20.573070882517104
Vegetation,8,9.43213939666748,8.255736947059631,7.6610539853572845,8.588801324367523,18.777133551863617
Animals,8,9.988621771335602,9.145718395709991,9.201321840286255,8.921849250793457,10.6798770136984
Sky,8,8.187540352344513,8.130826115608215,7.816313445568085,8.016149938106537,4.534046744210878
Urban,8,7.045413613319397,7.165022075176239,7.028584718704224,7.837719142436981,0.23886311775022281
