Decoding,PSNR,SSIM,LPIPS,dE,Chroma
Expected ($\mathbb{E}[ab]$),22.527236938476562,0.9273126721382141,0.16421442925930024,9.022709083557128,0.6376768239312659
MAP ($\arg\max \pi$),22.127260208129883,0.9148212671279907,0.18057941973209382,8.828465366363526,0.5044630115085484
Best-of-5,19.914901733398438,0.6082549095153809,0.2577390468120575,12.067633361816407,0.9625679329310235
Sample ($T$=1.0),19.91398048400879,0.6082467436790466,0.25773163259029386,12.069104690551757,0.9625920205752037
