Model,Text,Chroma,Head,PSNR,SSIM,LPIPS,dE,FID,Chroma_ratio
Baseline,\ding{55},\ding{55},Reg,22.03451156616211,0.9154573678970337,0.16089029520750045,9.314077110290528,47.672027587890625,0.5509250253890038
Ours,\ding{51},\ding{55},Reg,22.23130226135254,0.9193034172058105,0.15390427127480508,8.981239557266235,45.77199172973633,0.5092216747252507
Ours + $\mathcal{L}_c$,\ding{51},\ding{51},Reg,22.346174240112305,0.9222866892814636,0.1547950828075409,8.798370733261109,43.31885528564453,0.5339902725487627
Ours + MDN,\ding{51},\ding{55},MDN,22.527225494384766,0.9273125529289246,0.16421146899461747,9.022818021774292,55.80922317504883,0.6377530208535526
Delta (Ours - Baseline),,,,0.1967906951904297,0.0038460493087768555,-0.006986023932695373,-0.33283755302429263,-1.9000358581542969,-0.04170335066375308
