epoch,train_recon,train_adv,train_lpips,train_mdn_nll,train_chroma,val_l1,val_psnr,val_ssim,val_lpips,val_deltae,val_chroma
1,0.07047088886366373,0.0,0.17744248649779654,0.0,0.0,0.06884689904039815,21.585357666015625,0.9106152057647705,0.17353159791322983,10.3142298550165,0.08355034790223553
2,0.0676977728015401,0.0,0.17012947424015293,0.0,0.0,0.066637827427823,21.810203552246094,0.9150305986404419,0.16560527072901152,9.862126124673196,0.08299453126616171
3,0.06650769303992869,0.0,0.16667924119737565,0.0,0.0,0.06661209994170512,21.756433486938477,0.9186554551124573,0.16747488758685877,9.877906577593807,0.08359879333035451
4,0.06729448719644518,1.2028028619436217,0.1679552058180412,0.0,0.0,0.06820283240589108,21.646642684936523,0.9109154343605042,0.16973817490396045,10.111416856113935,0.08185781558312956
5,0.06720180743698173,1.2566470631288316,0.167773209545805,0.0,0.0,0.066032277545383,21.859060287475586,0.9143487811088562,0.16548664632047258,9.761532883684174,0.08138316030762777
6,0.0666143817641904,1.2977373574223379,0.16678454278198654,0.0,0.0,0.06807003475475211,21.794057846069336,0.9110415577888489,0.16912312975742905,10.220864422848912,0.0788002105466291
7,0.06625225574010914,1.3121721564237332,0.1661392330259452,0.0,0.0,0.06567783234771393,21.85721206665039,0.914827823638916,0.16402077276249225,9.728220669829211,0.08068795938368271
8,0.06578837335221614,1.3180405808913167,0.16501729424005515,0.0,0.0,0.06571626873994742,21.920257568359375,0.9106085300445557,0.1660254820555198,9.765766334800826,0.07831188842278569
9,0.06547921960997166,1.3206794430415314,0.1643390871783605,0.0,0.0,0.06541885038529958,21.980178833007812,0.9126213192939758,0.16378136679363184,9.720561843626305,0.07810017129495031
10,0.0651627154928512,1.3203418649292165,0.16340547209209993,0.0,0.0,0.06512681281595838,21.93124008178711,0.9151924252510071,0.1632705241212157,9.6236359278361,0.0802996554398904
11,0.06481527312739578,1.3216520130867069,0.16236500523046676,0.0,0.0,0.06499460251892314,21.980043411254883,0.9144041538238525,0.16243568816188336,9.654086502326303,0.07815433331668711
12,0.06454173280454928,1.3217214688269288,0.16183190959760038,0.0,0.0,0.06435065407629441,22.048315048217773,0.9158883690834045,0.1622463854170647,9.518025016918235,0.07831499456357555
13,0.06416614600741208,1.3212385492197347,0.16084351262581817,0.0,0.0,0.06406723079728145,22.07073211669922,0.9164156317710876,0.16230694267178783,9.468377532745276,0.07803100581784375
14,0.0639785801889428,1.3232878518376705,0.16021559027561594,0.0,0.0,0.06354656980923411,22.12269401550293,0.9174329042434692,0.15979812094936519,9.364510797986798,0.0781207738198987
15,0.06370848551343318,1.3266080979220893,0.15955870072157327,0.0,0.0,0.0638792881173413,22.07828712463379,0.9161146283149719,0.16278405383187516,9.418987063800587,0.07761306248876561
16,0.06343561712485708,1.3271777971294343,0.15876862571005995,0.0,0.0,0.06585498101988427,21.97325897216797,0.9117605686187744,0.16280610511909013,9.72034783256488,0.07803605509927126
17,0.06328621463272155,1.3296680708624788,0.15832849243277006,0.0,0.0,0.06454838014074735,21.926172256469727,0.9187960028648376,0.16168343413527272,9.438665156270943,0.08180182090639568
18,0.0630866324175994,1.3328576865014317,0.15785169645978295,0.0,0.0,0.06334081007277265,22.161666870117188,0.9179408550262451,0.15990229443508705,9.382790220885717,0.07646584528020951
19,0.06296801778017025,1.3331977063272407,0.15743223685837252,0.0,0.0,0.0632904173195863,22.163156509399414,0.9159828424453735,0.15978561964731255,9.378673033220094,0.07580360568308529
20,0.06276223340096077,1.3328942507013037,0.156803959351146,0.0,0.0,0.06414792097645815,22.057552337646484,0.9155163168907166,0.1611965893759948,9.4668223403749,0.07753613793111148
