epoch,train_recon,train_adv,train_lpips,train_mdn_nll,train_chroma,val_l1,val_psnr,val_ssim,val_lpips,val_deltae,val_chroma,val_nll
1,-2.210150234446827,0.0,0.19994174305223136,-2.210150234446827,0.0,0.06605391403143647,22.05617904663086,0.9064072370529175,0.18722053986637532,9.822080691655477,0.08041700313822563,-2.4572051920476747
2,-2.63573778850175,0.0,0.18379481284064766,-2.63573778850175,0.0,0.06429009709288092,22.29123306274414,0.9190941452980042,0.18173252476029703,9.646825767698742,0.07458595180210947,-2.681932780589042
3,-2.763332607761164,1.725449389077837,0.17790257230011614,-2.763332607761164,0.0,0.06577303428046342,22.16414451599121,0.9221428036689758,0.18056144932655394,10.065636552014604,0.07354131639942903,-2.6847510848726546
4,-2.8385755755801787,2.281650990292488,0.17437253634146865,-2.8385755755801787,0.0,0.06521962440627463,22.196203231811523,0.9239507913589478,0.17730165781134985,10.022049688157582,0.07228503108066336,-2.7872709693694984
5,-2.88792986685752,2.5621620699893106,0.17197108110505277,-2.88792986685752,0.0,0.062270667910033245,22.444969177246094,0.9278119802474976,0.17224348699595748,9.273825173284493,0.0732899950008516,-2.8589189838962397
6,-2.9263319617171444,2.7611015102246674,0.16995551630509942,-2.9263319617171444,0.0,0.06204980422406137,22.431560516357422,0.9272770285606384,0.17036752018774926,9.277741637884402,0.07241141958897855,-2.8874433107402813
7,-2.9560427941084266,2.9353039603435302,0.1685599060043733,-2.9560427941084266,0.0,0.062255992254122296,22.4400691986084,0.928386390209198,0.16997336717296382,9.3749946599581,0.07206653493146102,-2.918219721617819
8,-2.980990866026244,3.10959937813118,0.16741180075928414,-2.980990866026244,0.0,0.06207089521596078,22.490737915039062,0.9279857277870178,0.16653193698293356,9.312719160101327,0.0709033087417692,-2.9356728708710658
9,-3.0048684913068606,3.2804777577103135,0.16645518708476148,-3.0048684913068606,0.0,0.061650699020183386,22.551692962646484,0.9274231195449829,0.16785642786436722,9.250264392179602,0.07140548161494464,-2.9218902911792615
10,-3.017141072482954,3.4033038121563925,0.16605729864197974,-3.017141072482954,0.0,0.06080626055639999,22.573511123657227,0.9291718602180481,0.16816337981603058,8.971156072883712,0.07326280414348557,-2.9489972965390074
11,-3.0415175635021847,3.553755863932526,0.16495283514028486,-3.0415175635021847,0.0,0.062276243062622076,22.474267959594727,0.926321804523468,0.16788407720896711,9.403103037708613,0.06963996361179345,-2.904871682159039
12,-3.056750948130458,3.6590692870571795,0.16442900137809635,-3.056750948130458,0.0,0.061572705544218294,22.512176513671875,0.9302548766136169,0.1687168301779683,9.179705442166796,0.07303800222043898,-2.9365154209257174
13,-3.071909027043747,3.783624879568653,0.16382672253422065,-3.071909027043747,0.0,0.06148715552558251,22.566537857055664,0.9285371899604797,0.1650513978127171,9.236519929073772,0.06920853149698895,-2.9516977008317364
14,-3.0841587521930327,3.8623731159956187,0.163354132025673,-3.0841587521930327,0.0,0.06089786182911623,22.60348892211914,0.928799569606781,0.16485630848160646,9.097825582621812,0.07097271044610762,-2.9992223240080333
15,-3.100354339776364,3.92495304583881,0.16276903305013604,-3.100354339776364,0.0,0.061106303357193116,22.602705001831055,0.9283843040466309,0.16593400132255393,9.155659967443857,0.07004304980488718,-2.9962842858472123
16,-3.1124626073295842,3.994944898849177,0.16232729209466681,-3.1124626073295842,0.0,0.060619785813014714,22.54408836364746,0.9293202757835388,0.16738890312841626,8.961682668920993,0.0731843494202326,-2.977176673939916
